raw_type,n_neurons,resolved_type,dominant_nt,param_source,fallback_target,gNa_mS_cm2,gK_mS_cm2,gLeak_mS_cm2,eNa_mV,eK_mV,eLeak_mV,n_compartment_solver_mean,n_swc_nodes_mean
Tm5f,397,Tm5f,acetylcholine,nt:acetylcholine,,3.4987411,1.9002516,1.4999999,50.0,-77.0,-48.00504,25.12846347607053,1147.1133501259446
TmY3,359,TmY3,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,27.10306406685237,1009.9860724233984
Tm25,353,Tm25,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,29.64872521246459,1076.6090651558075
Mi13,350,Mi13,gaba,nt:gaba,,2.7185712,2.113714,1.7137141,50.0,-77.0,-51.125713,16.228571428571428,512.0685714285714
Dm3v,320,Dm3v,glutamate,nt:glutamate,,2.9031248,2.043125,1.6371874,50.0,-77.0,-50.3875,21.225,762.58125
Tm5c,308,Tm5c,glutamate,nt:glutamate,,2.9918828,2.0032468,1.6029218,50.0,-77.0,-50.032467,20.98701298701299,1105.090909090909
Y3,305,Y3,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,44.37377049180328,770.8491803278689
Dm10,249,Dm10,gaba,nt:gaba,,2.5160642,2.194779,1.7943773,50.0,-77.0,-51.93574,20.42570281124498,604.1204819277109
Tm5e,239,Tm5e,glutamate,nt:glutamate,,2.970711,2.0121338,1.6121337,50.0,-77.0,-50.117153,28.443514644351463,1253.0669456066946
Tm7,234,Tm7,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,26.521367521367523,1207.58547008547
Lai,231,Lai,acetylcholine,nt:acetylcholine,,3.0389614,2.0350647,1.6329004,50.0,-77.0,-49.844154,77.68831168831169,1223.965367965368
Tm5b,226,Tm5b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,22.168141592920353,1126.924778761062
TmY10,222,TmY10,acetylcholine,nt:acetylcholine,,3.5000007,1.8999996,1.4999999,50.0,-77.0,-48.0,25.71171171171171,1192.7972972972973
Tm5a,219,Tm5a,acetylcholine,nt:acetylcholine,,3.500001,1.8999997,1.4999999,50.0,-77.0,-48.0,17.899543378995435,1083.5296803652968
TmY4,211,TmY4,acetylcholine,nt:acetylcholine,,3.5000005,1.8999997,1.4999999,50.0,-77.0,-48.0,39.66824644549763,1215.308056872038
Mi10,207,Mi10,acetylcholine,nt:acetylcholine,,3.5000005,1.8999997,1.4999999,50.0,-77.0,-48.0,27.44927536231884,749.1014492753624
Dm15,201,Dm15,glutamate,nt:glutamate,,2.9328356,2.0278606,1.6278604,50.0,-77.0,-50.268658,14.248756218905474,485.87064676616916
Dm8b,197,Dm8b,glutamate,nt:glutamate,,3.007614,1.9999999,1.598477,50.0,-77.0,-49.969543,21.634517766497463,663.2335025380711
Sm02,195,Sm02,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,12.882051282051282,498.0769230769231
TmY9q__perp,189,TmY9q__perp,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,42.16931216931217,1348.047619047619
TmY14,185,TmY14,glutamate,nt:glutamate,,2.935135,2.025946,1.6259457,50.0,-77.0,-50.25946,73.68648648648649,1719.0054054054053
Dm8a,184,Dm8a,glutamate,nt:glutamate,,2.9592388,2.0168476,1.6141303,50.0,-77.0,-50.163044,19.391304347826086,615.8858695652174
LC12,183,LC12,acetylcholine,nt:acetylcholine,,3.4781427,1.9043713,1.4999999,50.0,-77.0,-48.087433,29.15846994535519,926.983606557377
TmY11,178,TmY11,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,35.13483146067416,1167.3651685393259
Tm16,174,Tm16,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,36.50574712643678,1222.6494252873563
Tm5d,174,Tm5d,glutamate,nt:glutamate,,2.9655168,2.013793,1.6137929,50.0,-77.0,-50.13793,28.942528735632184,1097.155172413793
TmY9q,173,TmY9q,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,37.93063583815029,1264.7341040462427
Lawf2,168,Lawf2,acetylcholine,nt:acetylcholine,,3.488096,1.9023806,1.4999999,50.0,-77.0,-48.04762,43.45238095238095,888.6011904761905
TmY31,156,TmY31,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,31.897435897435898,1248.1666666666667
Sm07,153,Sm07,gaba,nt:gaba,,2.5,2.1999998,1.7999997,50.0,-77.0,-52.0,33.51633986928105,756.6732026143791
Lawf1,152,Lawf1,acetylcholine,nt:acetylcholine,,3.4572377,1.9098681,1.5065788,50.0,-77.0,-48.17105,65.30263157894737,978.0526315789474
Sm01,144,Sm01,acetylcholine,nt:acetylcholine,,3.489584,1.9027776,1.5020833,50.0,-77.0,-48.041668,12.847222222222221,548.1319444444445
LC17,142,LC17,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,65.69014084507042,1196.3732394366198
TmY20,142,TmY20,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,37.88732394366197,1134.2957746478874
Tm36,141,Tm36,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,23.390070921985817,1147.3687943262412
TmY15,135,TmY15,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,85.11111111111111,1523.0740740740741
Dm9,128,Dm9,acetylcholine,nt:acetylcholine,,3.4687507,1.9093747,1.5093749,50.0,-77.0,-48.125,54.21875,1128.0703125
Mi14,127,Mi14,glutamate,nt:glutamate,,3.0078738,1.9992125,1.5992124,50.0,-77.0,-49.968502,36.188976377952756,750.5669291338583
MeTu1,123,MeTu1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,42.19512195121951,2023.7154471544716
LC10a,121,LC10a,acetylcholine,nt:acetylcholine,,3.4876041,1.902479,1.4999999,50.0,-77.0,-48.049587,36.97520661157025,1070.0
Pm01,119,Pm01,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,76.53781512605042,1470.6974789915967
Tm8a,119,Tm8a,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,36.94117647058823,1299.8487394957983
LLPC2,115,LLPC2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,30.347826086956523,812.3130434782609
Tm37,114,Tm37,acetylcholine,nt:acetylcholine,,3.478071,1.9043858,1.5043858,50.0,-77.0,-48.08772,24.57894736842105,1158.0526315789473
LLPC1,113,LLPC1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,44.61946902654867,1194.0088495575221
Dm12,109,Dm12,gaba,nt:gaba,,2.6743119,2.130275,1.730275,50.0,-77.0,-51.302753,36.091743119266056,1105.8990825688074
LC10c,102,LC10c,acetylcholine,nt:acetylcholine,,3.460785,1.9078429,1.4999999,50.0,-77.0,-48.156864,38.705882352941174,1079.2156862745098
LLPC3,102,LLPC3,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,39.21568627450981,778.7647058823529
LPLC2,102,LPLC2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,81.49019607843137,1234.186274509804
Y12,97,Y12,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,43.54639175257732,885.5876288659794
LC10d,95,LC10d,acetylcholine,nt:acetylcholine,,3.4947374,1.9010524,1.4999999,50.0,-77.0,-48.021053,48.90526315789474,1261.2736842105264
Pm03,94,Pm03,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,139.9787234042553,1770.0531914893618
Sm03,94,Sm03,glutamate,nt:glutamate,,3.0319145,1.9936169,1.5914891,50.0,-77.0,-49.87234,13.680851063829786,664.063829787234
Li06,93,Li06,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,61.935483870967744,1662.763440860215
LC18,92,LC18,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,39.71739130434783,991.4673913043479
LC9,92,LC9,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,42.65217391304348,1512.1521739130435
Li10,92,Li10,glutamate,nt:glutamate,,3.0054345,1.9989129,1.5989128,50.0,-77.0,-49.97826,113.02173913043478,1077.7065217391305
Pm02,88,Pm02,gaba,nt:gaba,,2.5,2.1999998,1.7999997,50.0,-77.0,-52.0,90.0,1361.465909090909
Li05,86,Li05,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,55.18604651162791,1078.1860465116279
Li01,84,Li01,glutamate,nt:glutamate,,3.0059521,1.9988095,1.5988094,50.0,-77.0,-49.97619,30.047619047619047,791.4166666666666
Sm09,83,Sm09,glutamate,nt:glutamate,,2.9397588,2.025301,1.625301,50.0,-77.0,-50.240963,36.674698795180724,798.3614457831326
LPC1,82,LPC1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999996,1.4999999,50.0,-77.0,-48.0,40.46341463414634,1015.9146341463414
Y1,82,Y1,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,49.02439024390244,958.9512195121952
Sm06,81,Sm06,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,39.95061728395062,1012.1851851851852
Sm08,81,Sm08,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,38.666666666666664,842.3333333333334
Y4,79,Y4,glutamate,nt:glutamate,,2.9999998,2.0,1.5987339,50.0,-77.0,-50.0,30.78481012658228,961.8227848101266
Tm32,76,Tm32,glutamate,nt:glutamate,,3.0197365,1.9960526,1.5960525,50.0,-77.0,-49.92105,24.0,1199.4473684210527
TmY16,76,TmY16,gaba,nt:gaba,,2.6118422,2.155263,1.7552631,50.0,-77.0,-51.55263,98.97368421052632,1452.671052631579
Pm05,75,Pm05,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,174.90666666666667,1722.6
LC16,74,LC16,acetylcholine,nt:acetylcholine,,3.4594603,1.9081079,1.4999999,50.0,-77.0,-48.162163,49.270270270270274,1186.5135135135135
Sm04,74,Sm04,gaba,nt:gaba,,2.7297294,2.1081078,1.708108,50.0,-77.0,-51.08108,17.54054054054054,688.7027027027027
Sm05,73,Sm05,gaba,nt:gaba,,2.541096,2.1863012,1.7863013,50.0,-77.0,-51.835617,21.28767123287671,564.0
LPLC1,72,LPLC1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,121.97222222222223,1273.138888888889
Sm12,72,Sm12,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,36.833333333333336,992.7916666666666
LC13,70,LC13,acetylcholine,nt:acetylcholine,,3.4928577,1.9014282,1.4999999,50.0,-77.0,-48.028572,55.82857142857143,1052.8285714285714
Y11,68,Y11,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,89.91176470588235,1074.6323529411766
Tlp1,67,Tlp1,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,61.582089552238806,976.0298507462686
Dm11,66,Dm11,glutamate,nt:glutamate,,2.9090908,2.0363636,1.6348482,50.0,-77.0,-50.363636,14.969696969696969,824.939393939394
MeTu3c,65,MeTu3c,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,36.49230769230769,1979.8153846153846
LC21,62,LC21,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,74.09677419354838,1163.741935483871
LPC2,62,LPC2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,56.483870967741936,1071.4354838709678
LC11,61,LC11,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,124.59016393442623,1482.0819672131147
LC6,60,LC6,acetylcholine,nt:acetylcholine,,3.4500005,1.9099997,1.4999999,50.0,-77.0,-48.2,49.333333333333336,1202.9166666666667
MeTu4a,60,MeTu4a,acetylcholine,nt:acetylcholine,,3.483334,1.9033331,1.4999999,50.0,-77.0,-48.066666,35.13333333333333,1956.4166666666667
Tm35,60,Tm35,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,44.36666666666667,1268.4166666666667
Pm08,59,Pm08,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,158.91525423728814,1804.2881355932204
Tm8b,59,Tm8b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,36.71186440677966,1233.7627118644068
LC28a,56,LC28a,acetylcholine,nt:acetylcholine,,3.4642863,1.9071426,1.4999999,50.0,-77.0,-48.142857,47.464285714285715,1747.0535714285713
LPi09,56,LPi09,glutamate,nt:glutamate,,2.8660712,2.0535712,1.6535712,50.0,-77.0,-50.535713,55.035714285714285,1450.892857142857
Tm33,56,Tm33,glutamate,nt:glutamate,,3.0089283,1.9982141,1.598214,50.0,-77.0,-49.964287,61.535714285714285,1344.75
MLt3,55,MLt3,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,36.54545454545455,1288.5636363636363
LC15,54,LC15,acetylcholine,nt:acetylcholine,,3.500001,1.8999997,1.4999999,50.0,-77.0,-48.0,77.29629629629629,1075.037037037037
LPLC4,54,LPLC4,acetylcholine,nt:acetylcholine,,3.500001,1.8999997,1.4999999,50.0,-77.0,-48.0,132.74074074074073,1367.2037037037037
Tm31,54,Tm31,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,37.48148148148148,1390.0740740740741
Sm15,53,Sm15,glutamate,nt:glutamate,,2.9905658,2.0037735,1.6037735,50.0,-77.0,-50.037735,37.132075471698116,827.2830188679245
LC10e,51,LC10e,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,28.58823529411765,1149.0196078431372
LPi04,51,LPi04,glutamate,nt:glutamate,,2.970588,2.0117648,1.6117646,50.0,-77.0,-50.117645,59.1764705882353,1235.9803921568628
LPi07,51,LPi07,gaba,nt:gaba,,2.6666667,2.1333332,1.7333332,50.0,-77.0,-51.333332,68.82352941176471,1105.2941176470588
MeTu4c,51,MeTu4c,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,24.392156862745097,1944.9019607843138
LC4,50,LC4,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,49.04,1141.68
MTe51,50,MTe51,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,29.52,1204.32
Li02,49,Li02,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,58.857142857142854,1093.9183673469388
Tlp4,49,Tlp4,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999997,50.0,-77.0,-50.0,91.87755102040816,1162.5510204081634
LPi02,48,LPi02,glutamate,nt:glutamate,,2.9791663,2.0083332,1.6083331,50.0,-77.0,-50.083332,38.125,1165.3958333333333
MLt2,48,MLt2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,37.291666666666664,934.2291666666666
Dm20,47,Dm20,gaba,nt:gaba,,2.6170213,2.1531913,1.7531914,50.0,-77.0,-51.531914,86.76595744680851,1775.127659574468
MTe01a,47,MTe01a,glutamate,nt:glutamate,,2.9893613,2.0042553,1.6042551,50.0,-77.0,-50.042553,52.255319148936174,2001.6808510638298
LC22,46,LC22,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,57.82608695652174,1166.2391304347825
Li03,46,Li03,gaba,nt:gaba,,2.5,2.1999998,1.8,50.0,-77.0,-52.0,21.652173913043477,683.0434782608696
MeTu3b,46,MeTu3b,acetylcholine,nt:acetylcholine,,3.4782615,1.9043477,1.4999999,50.0,-77.0,-48.086956,32.34782608695652,2033.0434782608695
Li17,45,Li17,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,141.42222222222222,1624.2444444444445
Dm16,44,Dm16,gaba,nt:gaba,,2.7045453,2.1181817,1.7181816,50.0,-77.0,-51.18182,35.5,863.8636363636364
MLt1,44,MLt1,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,43.81818181818182,1911.3636363636363
MLt4,44,MLt4,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,26.40909090909091,1234.8863636363637
LC10b,43,LC10b,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,75.72093023255815,1569.6744186046512
Sm10,43,Sm10,gaba,nt:gaba,,2.5232558,2.193023,1.793023,50.0,-77.0,-51.90698,19.86046511627907,1514.4651162790697
cLP02,43,cLP02,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,20.372093023255815,992.0232558139535
LPi05,42,LPi05,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,102.57142857142857,1388.8095238095239
Pm04,40,Pm04,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,153.5,1608.625
Dm4,39,Dm4,glutamate,nt:glutamate,,2.8205125,2.0717947,1.6717947,50.0,-77.0,-50.71795,85.84615384615384,1289.6153846153845
MTe02,38,MTe02,acetylcholine,nt:acetylcholine,,3.4868429,1.9026313,1.5026314,50.0,-77.0,-48.05263,30.31578947368421,1133.5263157894738
Pm09,38,Pm09,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,278.7368421052632,1904.9473684210527
Dm1,37,Dm1,gaba,nt:gaba,,2.6756756,2.1297295,1.7297295,50.0,-77.0,-51.2973,48.0,926.081081081081
Tm34,37,Tm34,glutamate,nt:glutamate,,2.9999998,2.0,1.5999998,50.0,-77.0,-50.0,28.0,1212.7837837837837
LLPt,36,LLPt,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,131.0,1030.0277777777778
MLt5,36,MLt5,acetylcholine,nt:acetylcholine,,3.5000007,1.8999999,1.4999999,50.0,-77.0,-48.0,26.055555555555557,817.5
MeTu2a,36,MeTu2a,acetylcholine,nt:acetylcholine,,3.4305563,1.9138887,1.4999999,50.0,-77.0,-48.27778,14.88888888888889,1675.2777777777778
LC24,35,LC24,acetylcholine,nt:acetylcholine,,3.4428577,1.9114285,1.5114284,50.0,-77.0,-48.228573,38.68571428571428,1308.2
LMa5,34,LMa5,glutamate,nt:glutamate,,2.9852939,2.0058823,1.605882,50.0,-77.0,-50.058823,470.2352941176471,2953.0588235294117
Sm16,34,Sm16,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,32.76470588235294,1375.2941176470588
LMa4,33,LMa4,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,154.3030303030303,2166.6060606060605
Li11,32,Li11,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,48.6875,1450.21875
Li13,32,Li13,gaba,nt:gaba,,2.5,2.1999998,1.7999998,50.0,-77.0,-52.0,83.3125,1439.78125
Dm6,31,Dm6,gaba,nt:gaba,,2.516129,2.1935482,1.7935482,50.0,-77.0,-51.935482,144.19354838709677,1469.516129032258
LC26,31,LC26,acetylcholine,nt:acetylcholine,,3.4193554,1.9161289,1.4999999,50.0,-77.0,-48.322582,35.29032258064516,1058.1935483870968
MLt6,30,MLt6,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,42.46666666666667,981.8
LC25,29,LC25,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,55.10344827586207,1219.2068965517242
MTe50,29,MTe50,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,20.75862068965517,1061.4137931034484
Sm32,29,Sm32,gaba,nt:gaba,,2.5,2.1999998,1.8,50.0,-77.0,-52.0,77.44827586206897,2180.137931034483
Tlp14,29,Tlp14,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,79.51724137931035,1460.4137931034484
LCe02,28,LCe02,acetylcholine,nt:acetylcholine,,3.3750005,1.9249998,1.4999999,50.0,-77.0,-48.5,20.428571428571427,1005.8928571428571
LMa1,28,LMa1,glutamate,nt:glutamate,,2.9999998,1.9999999,1.5999998,50.0,-77.0,-50.0,133.64285714285714,1482.357142857143
MTe54,28,MTe54,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,67.42857142857143,1405.4642857142858
Sm20,28,Sm20,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,52.642857142857146,1409.5
