idx,cell,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
10,Mi9,1.000000,1.014871,-50.000000,0.952902,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
11,T1,1.000000,1.038511,-50.000000,1.034973,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
12,T2,1.000000,0.980568,-50.000000,1.043339,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
13,T2a,1.000000,0.985080,-50.000000,0.994712,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
14,T3,1.000000,0.964586,-50.000000,1.048397,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
15,T4a,1.000000,1.045520,-50.000000,0.952765,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
16,T4b,1.000000,0.988368,-50.000000,1.000724,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
17,T4c,1.000000,0.984093,-50.000000,0.991776,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
18,T4d,1.000000,0.989064,-50.000000,0.983499,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
19,T5a,1.000000,0.984067,-50.000000,1.039974,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
20,T5b,1.000000,0.959162,-50.000000,1.013549,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
21,T5c,1.000000,0.961197,-50.000000,1.006901,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
22,T5d,1.000000,0.996022,-50.000000,0.976499,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
23,Tm1,1.000000,0.986273,-50.000000,1.024747,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
24,Tm2,1.000000,0.964548,-50.000000,1.008753,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
25,Tm20,1.000000,0.953460,-50.000000,0.971760,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
26,Tm21,1.000000,1.030380,-50.000000,0.950965,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
27,Tm3,1.000000,0.993375,-50.000000,0.995707,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
28,Tm4,1.000000,0.965677,-50.000000,1.010273,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
29,Tm9,1.000000,1.039702,-50.000000,0.995468,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
30,C2,1.000000,1.034418,-50.000000,1.046951,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
31,C3,1.000000,0.952750,-50.000000,1.018502,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
32,Lawf1,1.000000,1.015395,-50.000000,1.019147,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
33,Lawf2,1.000000,0.957070,-50.000000,0.973165,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
